Средство;Широта;Долгота
09 09:14:41  ;  55.567783333 ;  38.122488333  
09 09:14:46  ;  55.567778333 ;  38.122483333  
09 09:14:51  ;  55.567786667 ;  38.122486667  
09 09:14:56  ;  55.567786667 ;  38.122486667  
09 09:15:01  ;  55.567786667 ;  38.122486667  
09 09:15:06  ;  55.567791667 ;  38.122485  
09 09:15:11  ;  55.567788333 ;  38.122486667  
09 09:15:16  ;  55.567786667 ;  38.122486667  
09 09:15:21  ;  55.567788333 ;  38.122486667  
09 09:15:26  ;  55.567788333 ;  38.122486667  
09 09:15:31  ;  55.567785 ;  38.122486667  
09 09:15:36  ;  55.567785 ;  38.122486667  
09 09:15:41  ;  55.567785 ;  38.122486667  
09 09:15:46  ;  55.567783333 ;  38.122486667  
09 09:15:51  ;  55.567778333 ;  38.122488333  
09 09:15:56  ;  55.567776667 ;  38.122465  
09 09:16:01  ;  55.567775 ;  38.122343333  
09 09:16:06  ;  55.567771667 ;  38.12218  
09 09:16:11  ;  55.567766667 ;  38.121975  
09 09:16:16  ;  55.567756667 ;  38.121743333  
09 09:16:21  ;  55.567745 ;  38.121525  
09 09:16:26  ;  55.567723333 ;  38.121328333  
09 09:16:31  ;  55.567673333 ;  38.121148333  
09 09:16:36  ;  55.567625 ;  38.121041667  
09 09:16:41  ;  55.567558333 ;  38.121006667  
09 09:16:46  ;  55.567478333 ;  38.121015  
09 09:16:51  ;  55.567363333 ;  38.121103333  
09 09:16:56  ;  55.567223333 ;  38.121305  
09 09:17:01  ;  55.5671 ;  38.12153  
09 09:17:06  ;  55.566971667 ;  38.121765  
09 09:17:11  ;  55.566811667 ;  38.122078333  
09 09:17:16  ;  55.566616667 ;  38.12246  
09 09:17:21  ;  55.566418333 ;  38.122843333  
09 09:17:26  ;  55.566215 ;  38.123235  
09 09:17:31  ;  55.566015 ;  38.123628333  
09 09:17:36  ;  55.565815 ;  38.124006667  
09 09:17:41  ;  55.565635 ;  38.124405  
09 09:17:46  ;  55.565435 ;  38.124808333  
09 09:17:51  ;  55.56524 ;  38.125218333  
09 09:17:56  ;  55.565053333 ;  38.125615  
09 09:18:01  ;  55.564851667 ;  38.126025  
09 09:18:06  ;  55.564653333 ;  38.12644  
09 09:18:11  ;  55.564453333 ;  38.126853333  
09 09:18:16  ;  55.564248333 ;  38.127261667  
09 09:18:21  ;  55.564041667 ;  38.127678333  
09 09:18:26  ;  55.563788333 ;  38.128186667  
09 09:18:31  ;  55.563371667 ;  38.129023333  
09 09:18:36  ;  55.562675 ;  38.130396667  
09 09:18:41  ;  55.561693333 ;  38.132348333  
09 09:18:46  ;  55.560411667 ;  38.134896667  
09 09:18:51  ;  55.55888 ;  38.137963333  
09 09:18:56  ;  55.557133333 ;  38.141475  
09 09:19:01  ;  55.555173333 ;  38.145358333  
09 09:19:06  ;  55.55308 ;  38.149523333  
09 09:19:11  ;  55.550866667 ;  38.153943333  
09 09:19:16  ;  55.548551667 ;  38.158568333  
09 09:19:21  ;  55.546128333 ;  38.163326667  
09 09:19:26  ;  55.54369 ;  38.168221667  
09 09:19:31  ;  55.541223333 ;  38.173165  
09 09:19:36  ;  55.538815 ;  38.177998333  
09 09:19:41  ;  55.536435 ;  38.182971667  
